mutation,avg_fitness,min_fitness,max_fitness,std_fitness,avg_time,min_time,max_time,std_time,gen_to_-5,gen_to_-1,time_to_-5,time_to_-1,%_zero_fitness
mutate_gene,-42.6,-53,-35,4.6508890796028695,301.1459765613079,287.2814393043518,314.4435136318207,6.732560153358938,,,,,0.0
mutate_gene_GCFSA,-10.4,-12,-10,0.5453768398418634,618.371603769064,604.7103273868561,629.6137993335724,4.776360943429391,,,,,0.0
