mutation_rate,avg_fitness,min_fitness,max_fitness,std_fitness,avg_time,min_time,max_time,std_time
0.005,13.90625,4.75,28.0,9.325404529716506,43.21029144525528,42.12114882469177,45.30463695526123,1.3213303996165688
0.01,15.3125,5.75,26.0,9.86040965535553,42.87320864200592,42.24983859062195,44.150712966918945,0.8010950779048327
0.015,13.4375,5.0,24.0,8.715493183324249,44.55629217624664,42.85026502609253,49.263197898864746,2.906595189462094
0.02,14.84375,5.25,26.0,9.622274660539322,44.410354256629944,42.70040774345398,49.00945067405701,2.841510054595172
