Run,crossover,Generation,Fitness,Time (s)
0,random,0,39.0,36.05920433998108
0,random,1,34.0,36.05920433998108
0,random,2,34.0,36.05920433998108
0,random,3,34.0,36.05920433998108
0,random,4,31.0,36.05920433998108
0,random,5,31.0,36.05920433998108
0,random,6,31.0,36.05920433998108
0,random,7,30.0,36.05920433998108
0,random,8,29.0,36.05920433998108
0,random,9,28.0,36.05920433998108
0,random,10,27.0,36.05920433998108
0,random,11,25.0,36.05920433998108
0,random,12,25.0,36.05920433998108
0,random,13,24.0,36.05920433998108
0,random,14,23.0,36.05920433998108
0,random,15,22.0,36.05920433998108
0,random,16,21.0,36.05920433998108
0,random,17,21.0,36.05920433998108
0,random,18,20.0,36.05920433998108
0,random,19,18.0,36.05920433998108
0,random,20,17.0,36.05920433998108
0,random,21,15.0,36.05920433998108
0,random,22,15.0,36.05920433998108
0,random,23,15.0,36.05920433998108
0,random,24,15.0,36.05920433998108
0,random,25,14.0,36.05920433998108
0,random,26,14.0,36.05920433998108
0,random,27,14.0,36.05920433998108
0,random,28,13.0,36.05920433998108
0,random,29,13.0,36.05920433998108
0,random,30,12.0,36.05920433998108
0,random,31,12.0,36.05920433998108
0,random,32,12.0,36.05920433998108
0,random,33,12.0,36.05920433998108
0,random,34,12.0,36.05920433998108
0,random,35,11.0,36.05920433998108
0,random,36,11.0,36.05920433998108
0,random,37,11.0,36.05920433998108
0,random,38,10.0,36.05920433998108
0,random,39,10.0,36.05920433998108
0,random,0,19.5,36.05920433998108
0,random,1,17.0,36.05920433998108
0,random,2,17.0,36.05920433998108
0,random,3,17.0,36.05920433998108
0,random,4,15.5,36.05920433998108
0,random,5,15.5,36.05920433998108
0,random,6,15.5,36.05920433998108
0,random,7,15.0,36.05920433998108
0,random,8,14.5,36.05920433998108
0,random,9,14.0,36.05920433998108
0,random,10,13.5,36.05920433998108
0,random,11,12.5,36.05920433998108
0,random,12,12.5,36.05920433998108
0,random,13,12.0,36.05920433998108
0,random,14,11.5,36.05920433998108
0,random,15,11.0,36.05920433998108
0,random,16,10.5,36.05920433998108
0,random,17,10.5,36.05920433998108
0,random,18,10.0,36.05920433998108
0,random,19,9.0,36.05920433998108
0,random,20,8.5,36.05920433998108
0,random,21,7.5,36.05920433998108
0,random,22,7.5,36.05920433998108
0,random,23,7.5,36.05920433998108
0,random,24,7.5,36.05920433998108
0,random,25,7.0,36.05920433998108
0,random,26,7.0,36.05920433998108
0,random,27,7.0,36.05920433998108
0,random,28,6.5,36.05920433998108
0,random,29,6.5,36.05920433998108
0,random,30,6.0,36.05920433998108
0,random,31,6.0,36.05920433998108
0,random,32,6.0,36.05920433998108
0,random,33,6.0,36.05920433998108
0,random,34,6.0,36.05920433998108
0,random,35,5.5,36.05920433998108
0,random,36,5.5,36.05920433998108
0,random,37,5.5,36.05920433998108
0,random,38,5.0,36.05920433998108
0,random,39,5.0,36.05920433998108
1,random,0,42.0,35.90400433540344
1,random,1,39.0,35.90400433540344
1,random,2,36.0,35.90400433540344
1,random,3,34.0,35.90400433540344
1,random,4,32.0,35.90400433540344
1,random,5,30.0,35.90400433540344
1,random,6,27.0,35.90400433540344
1,random,7,27.0,35.90400433540344
1,random,8,26.0,35.90400433540344
1,random,9,26.0,35.90400433540344
1,random,10,23.0,35.90400433540344
1,random,11,23.0,35.90400433540344
1,random,12,22.0,35.90400433540344
1,random,13,21.0,35.90400433540344
1,random,14,21.0,35.90400433540344
1,random,15,20.0,35.90400433540344
1,random,16,20.0,35.90400433540344
1,random,17,18.0,35.90400433540344
1,random,18,18.0,35.90400433540344
1,random,19,17.0,35.90400433540344
1,random,20,17.0,35.90400433540344
1,random,21,17.0,35.90400433540344
1,random,22,17.0,35.90400433540344
1,random,23,16.0,35.90400433540344
1,random,24,14.0,35.90400433540344
1,random,25,13.0,35.90400433540344
1,random,26,13.0,35.90400433540344
1,random,27,13.0,35.90400433540344
1,random,28,12.0,35.90400433540344
1,random,29,12.0,35.90400433540344
1,random,30,12.0,35.90400433540344
1,random,31,11.0,35.90400433540344
1,random,32,11.0,35.90400433540344
1,random,33,11.0,35.90400433540344
1,random,34,11.0,35.90400433540344
1,random,35,10.0,35.90400433540344
1,random,36,10.0,35.90400433540344
1,random,37,10.0,35.90400433540344
1,random,38,10.0,35.90400433540344
1,random,39,9.0,35.90400433540344
1,random,0,21.0,35.90400433540344
1,random,1,19.5,35.90400433540344
1,random,2,18.0,35.90400433540344
1,random,3,17.0,35.90400433540344
1,random,4,16.0,35.90400433540344
1,random,5,15.0,35.90400433540344
1,random,6,13.5,35.90400433540344
1,random,7,13.5,35.90400433540344
1,random,8,13.0,35.90400433540344
1,random,9,13.0,35.90400433540344
1,random,10,11.5,35.90400433540344
1,random,11,11.5,35.90400433540344
1,random,12,11.0,35.90400433540344
1,random,13,10.5,35.90400433540344
1,random,14,10.5,35.90400433540344
1,random,15,10.0,35.90400433540344
1,random,16,10.0,35.90400433540344
1,random,17,9.0,35.90400433540344
1,random,18,9.0,35.90400433540344
1,random,19,8.5,35.90400433540344
1,random,20,8.5,35.90400433540344
1,random,21,8.5,35.90400433540344
1,random,22,8.5,35.90400433540344
1,random,23,8.0,35.90400433540344
1,random,24,7.0,35.90400433540344
1,random,25,6.5,35.90400433540344
1,random,26,6.5,35.90400433540344
1,random,27,6.5,35.90400433540344
1,random,28,6.0,35.90400433540344
1,random,29,6.0,35.90400433540344
1,random,30,6.0,35.90400433540344
1,random,31,5.5,35.90400433540344
1,random,32,5.5,35.90400433540344
1,random,33,5.5,35.90400433540344
1,random,34,5.5,35.90400433540344
1,random,35,5.0,35.90400433540344
1,random,36,5.0,35.90400433540344
1,random,37,5.0,35.90400433540344
1,random,38,5.0,35.90400433540344
1,random,39,4.5,35.90400433540344
