Run,mutation_rate,Generation,Fitness,Time (s)
3,0.005,45,5.0,45.30463695526123
3,0.005,46,5.0,45.30463695526123
3,0.005,47,4.75,45.30463695526123
3,0.005,48,4.75,45.30463695526123
3,0.005,49,4.75,45.30463695526123
0,0.02,0,41.0,49.00945067405701
0,0.02,1,41.0,49.00945067405701
0,0.02,2,40.0,49.00945067405701
0,0.02,3,40.0,49.00945067405701
0,0.02,4,36.0,49.00945067405701
0,0.02,5,36.0,49.00945067405701
0,0.02,6,36.0,49.00945067405701
0,0.02,7,36.0,49.00945067405701
0,0.02,8,35.0,49.00945067405701
0,0.02,9,35.0,49.00945067405701
0,0.02,10,35.0,49.00945067405701
0,0.02,11,35.0,49.00945067405701
0,0.02,12,35.0,49.00945067405701
0,0.02,13,35.0,49.00945067405701
0,0.02,14,35.0,49.00945067405701
0,0.02,15,35.0,49.00945067405701
0,0.02,16,35.0,49.00945067405701
0,0.02,17,35.0,49.00945067405701
0,0.02,18,34.0,49.00945067405701
0,0.02,19,34.0,49.00945067405701
0,0.02,20,34.0,49.00945067405701
0,0.02,21,34.0,49.00945067405701
0,0.02,22,34.0,49.00945067405701
0,0.02,23,33.0,49.00945067405701
0,0.02,24,32.0,49.00945067405701
0,0.02,25,32.0,49.00945067405701
0,0.02,26,30.0,49.00945067405701
0,0.02,27,30.0,49.00945067405701
0,0.02,28,29.0,49.00945067405701
0,0.02,29,28.0,49.00945067405701
0,0.02,30,28.0,49.00945067405701
0,0.02,31,28.0,49.00945067405701
0,0.02,32,28.0,49.00945067405701
0,0.02,33,27.0,49.00945067405701
0,0.02,34,25.0,49.00945067405701
0,0.02,35,25.0,49.00945067405701
0,0.02,36,25.0,49.00945067405701
0,0.02,37,25.0,49.00945067405701
0,0.02,38,25.0,49.00945067405701
0,0.02,39,24.0,49.00945067405701
0,0.02,40,24.0,49.00945067405701
0,0.02,41,24.0,49.00945067405701
0,0.02,42,24.0,49.00945067405701
0,0.02,43,24.0,49.00945067405701
0,0.02,44,24.0,49.00945067405701
0,0.02,45,24.0,49.00945067405701
0,0.02,46,24.0,49.00945067405701
0,0.02,47,24.0,49.00945067405701
0,0.02,48,24.0,49.00945067405701
0,0.02,49,24.0,49.00945067405701
0,0.02,0,10.25,49.00945067405701
0,0.02,1,10.25,49.00945067405701
0,0.02,2,10.0,49.00945067405701
0,0.02,3,10.0,49.00945067405701
0,0.02,4,9.0,49.00945067405701
0,0.02,5,9.0,49.00945067405701
0,0.02,6,9.0,49.00945067405701
0,0.02,7,9.0,49.00945067405701
0,0.02,8,8.75,49.00945067405701
0,0.02,9,8.75,49.00945067405701
0,0.02,10,8.75,49.00945067405701
0,0.02,11,8.75,49.00945067405701
0,0.02,12,8.75,49.00945067405701
0,0.02,13,8.75,49.00945067405701
0,0.02,14,8.75,49.00945067405701
