crossover,avg_fitness,min_fitness,max_fitness,std_fitness,avg_time,min_time,max_time,std_time
biological,24.53125,9.25,43.0,15.83477045482955,59.367837488651276,58.76304745674133,60.25663924217224,0.6259131848543917
graph_based,22.96875,9.0,38.0,14.746935214283873,58.991962254047394,57.28845143318176,59.99918293952942,1.190028641760039
random,23.4375,9.25,38.0,15.038492278150759,58.52600848674774,57.275856018066406,59.84774160385132,1.1606236899020899
