Run,mr_tuning,Generation,Fitness,Time (s)
3,const,0,40.0,51.17150545120239
3,const,1,6.0,51.17150545120239
3,const,2,2.0,51.17150545120239
3,const,3,2.0,51.17150545120239
3,const,4,1.0,51.17150545120239
3,const,5,1.0,51.17150545120239
3,const,6,1.0,51.17150545120239
3,const,7,1.0,51.17150545120239
3,const,8,1.0,51.17150545120239
3,const,9,1.0,51.17150545120239
3,const,0,6.666666666666667,51.17150545120239
3,const,1,1.0,51.17150545120239
3,const,2,0.3333333333333333,51.17150545120239
3,const,3,0.3333333333333333,51.17150545120239
3,const,4,0.16666666666666666,51.17150545120239
3,const,5,0.16666666666666666,51.17150545120239
3,const,6,0.16666666666666666,51.17150545120239
3,const,7,0.16666666666666666,51.17150545120239
3,const,8,0.16666666666666666,51.17150545120239
3,const,9,0.16666666666666666,51.17150545120239
4,const,0,39.0,51.36230492591858
4,const,1,5.0,51.36230492591858
4,const,2,3.0,51.36230492591858
4,const,3,3.0,51.36230492591858
4,const,4,3.0,51.36230492591858
4,const,5,2.0,51.36230492591858
4,const,6,2.0,51.36230492591858
4,const,7,2.0,51.36230492591858
4,const,8,2.0,51.36230492591858
4,const,9,2.0,51.36230492591858
4,const,0,6.5,51.36230492591858
4,const,1,0.8333333333333334,51.36230492591858
4,const,2,0.5,51.36230492591858
4,const,3,0.5,51.36230492591858
4,const,4,0.5,51.36230492591858
4,const,5,0.3333333333333333,51.36230492591858
4,const,6,0.3333333333333333,51.36230492591858
4,const,7,0.3333333333333333,51.36230492591858
4,const,8,0.3333333333333333,51.36230492591858
4,const,9,0.3333333333333333,51.36230492591858
0,const,0,42.0,50.83320879936218
0,const,1,2.0,50.83320879936218
0,const,2,2.0,50.83320879936218
0,const,3,1.0,50.83320879936218
0,const,4,1.0,50.83320879936218
0,const,5,1.0,50.83320879936218
0,const,6,1.0,50.83320879936218
0,const,7,1.0,50.83320879936218
0,const,8,1.0,50.83320879936218
0,const,9,1.0,50.83320879936218
0,const,0,7.0,50.83320879936218
0,const,1,0.3333333333333333,50.83320879936218
0,const,2,0.3333333333333333,50.83320879936218
0,const,3,0.16666666666666666,50.83320879936218
0,const,4,0.16666666666666666,50.83320879936218
0,const,5,0.16666666666666666,50.83320879936218
0,const,6,0.16666666666666666,50.83320879936218
0,const,7,0.16666666666666666,50.83320879936218
0,const,8,0.16666666666666666,50.83320879936218
0,const,9,0.16666666666666666,50.83320879936218
5,const,0,41.0,50.90766358375549
5,const,1,6.0,50.90766358375549
5,const,2,4.0,50.90766358375549
5,const,3,3.0,50.90766358375549
5,const,4,2.0,50.90766358375549
5,const,5,1.0,50.90766358375549
5,const,6,1.0,50.90766358375549
5,const,7,1.0,50.90766358375549
5,const,8,1.0,50.90766358375549
5,const,9,1.0,50.90766358375549
5,const,0,6.833333333333333,50.90766358375549
5,const,1,1.0,50.90766358375549
5,const,2,0.6666666666666666,50.90766358375549
5,const,3,0.5,50.90766358375549
5,const,4,0.3333333333333333,50.90766358375549
5,const,5,0.16666666666666666,50.90766358375549
5,const,6,0.16666666666666666,50.90766358375549
5,const,7,0.16666666666666666,50.90766358375549
5,const,8,0.16666666666666666,50.90766358375549
5,const,9,0.16666666666666666,50.90766358375549
2,const,0,39.0,51.090099811553955
2,const,1,6.0,51.090099811553955
2,const,2,4.0,51.090099811553955
2,const,3,4.0,51.090099811553955
2,const,4,3.0,51.090099811553955
2,const,5,3.0,51.090099811553955
2,const,6,3.0,51.090099811553955
2,const,7,3.0,51.090099811553955
2,const,8,3.0,51.090099811553955
2,const,9,3.0,51.090099811553955
2,const,0,6.5,51.090099811553955
2,const,1,1.0,51.090099811553955
2,const,2,0.6666666666666666,51.090099811553955
2,const,3,0.6666666666666666,51.090099811553955
2,const,4,0.5,51.090099811553955
2,const,5,0.5,51.090099811553955
2,const,6,0.5,51.090099811553955
2,const,7,0.5,51.090099811553955
2,const,8,0.5,51.090099811553955
2,const,9,0.5,51.090099811553955
1,const,0,41.0,37.67007350921631
1,const,1,6.0,37.67007350921631
1,const,2,4.0,37.67007350921631
1,const,3,3.0,37.67007350921631
1,const,4,2.0,37.67007350921631
1,const,5,2.0,37.67007350921631
1,const,6,1.0,37.67007350921631
1,const,7,0.0,37.67007350921631
1,const,0,6.833333333333333,37.67007350921631
1,const,1,1.0,37.67007350921631
1,const,2,0.6666666666666666,37.67007350921631
1,const,3,0.5,37.67007350921631
1,const,4,0.3333333333333333,37.67007350921631
1,const,5,0.3333333333333333,37.67007350921631
1,const,6,0.16666666666666666,37.67007350921631
1,const,7,0.0,37.67007350921631
1,const,8,0.0,37.67007350921631
1,const,9,0.0,37.67007350921631
