mutation_rate,avg_fitness,min_fitness,max_fitness,std_fitness,avg_time,min_time,max_time,std_time,gen_to_-5,gen_to_-1,time_to_-5,time_to_-1,%_zero_fitness
0.001,-6.45,-10,-3,1.8529256146249728,254.57291646003722,178.5886800289154,280.4923393726349,27.030388594370365,,,,,0.0
0.005,-4.525,-11,-2,1.9740301091409098,257.38983792066574,191.92033219337463,282.4465796947479,21.08719375235794,105.0,,135.13,,0.0
0.01,-4.35,-7,-2,1.2919871397311853,263.7672709286213,208.30942153930664,285.3975009918213,25.29200668689543,112.0,,147.71,,0.0
0.05,-4.775,-8,-1,1.4230249470757708,280.0548148751259,226.48991584777832,297.0180666446686,19.55499197164675,181.0,,253.45,,0.0
0.1,-11.575,-18,-8,2.4166887708980265,290.8628235816956,245.31876611709595,302.1619002819061,11.797168982832167,,,,,0.0
