Run,mutation_rate,Generation,Fitness,Time (s)
35,0.01,175,-4,284.53509521484375
35,0.01,176,-4,284.53509521484375
35,0.01,177,-4,284.53509521484375
35,0.01,178,-4,284.53509521484375
35,0.01,179,-4,284.53509521484375
35,0.01,180,-4,284.53509521484375
35,0.01,181,-4,284.53509521484375
35,0.01,182,-4,284.53509521484375
35,0.01,183,-4,284.53509521484375
35,0.01,184,-4,284.53509521484375
35,0.01,185,-4,284.53509521484375
35,0.01,186,-4,284.53509521484375
35,0.01,187,-4,284.53509521484375
35,0.01,188,-4,284.53509521484375
35,0.01,189,-4,284.53509521484375
35,0.01,190,-4,284.53509521484375
35,0.01,191,-4,284.53509521484375
35,0.01,192,-4,284.53509521484375
35,0.01,193,-4,284.53509521484375
35,0.01,194,-4,284.53509521484375
35,0.01,195,-4,284.53509521484375
35,0.01,196,-4,284.53509521484375
35,0.01,197,-4,284.53509521484375
35,0.01,198,-4,284.53509521484375
35,0.01,199,-4,284.53509521484375
37,0.05,0,-40,284.7880458831787
37,0.05,1,-35,284.7880458831787
37,0.05,2,-35,284.7880458831787
37,0.05,3,-35,284.7880458831787
37,0.05,4,-33,284.7880458831787
37,0.05,5,-33,284.7880458831787
37,0.05,6,-32,284.7880458831787
37,0.05,7,-31,284.7880458831787
37,0.05,8,-31,284.7880458831787
37,0.05,9,-28,284.7880458831787
37,0.05,10,-28,284.7880458831787
37,0.05,11,-28,284.7880458831787
37,0.05,12,-26,284.7880458831787
37,0.05,13,-26,284.7880458831787
37,0.05,14,-26,284.7880458831787
37,0.05,15,-26,284.7880458831787
37,0.05,16,-24,284.7880458831787
37,0.05,17,-24,284.7880458831787
37,0.05,18,-24,284.7880458831787
37,0.05,19,-23,284.7880458831787
37,0.05,20,-23,284.7880458831787
37,0.05,21,-22,284.7880458831787
37,0.05,22,-22,284.7880458831787
37,0.05,23,-21,284.7880458831787
37,0.05,24,-20,284.7880458831787
37,0.05,25,-20,284.7880458831787
37,0.05,26,-18,284.7880458831787
37,0.05,27,-17,284.7880458831787
37,0.05,28,-17,284.7880458831787
37,0.05,29,-17,284.7880458831787
37,0.05,30,-17,284.7880458831787
37,0.05,31,-15,284.7880458831787
37,0.05,32,-15,284.7880458831787
37,0.05,33,-15,284.7880458831787
37,0.05,34,-15,284.7880458831787
37,0.05,35,-15,284.7880458831787
37,0.05,36,-13,284.7880458831787
37,0.05,37,-13,284.7880458831787
37,0.05,38,-13,284.7880458831787
37,0.05,39,-13,284.7880458831787
37,0.05,40,-13,284.7880458831787
37,0.05,41,-12,284.7880458831787
37,0.05,42,-11,284.7880458831787
37,0.05,43,-11,284.7880458831787
37,0.05,44,-11,284.7880458831787
37,0.05,45,-11,284.7880458831787
37,0.05,46,-11,284.7880458831787
37,0.05,47,-11,284.7880458831787
37,0.05,48,-11,284.7880458831787
37,0.05,49,-11,284.7880458831787
37,0.05,50,-8,284.7880458831787
37,0.05,51,-8,284.7880458831787
37,0.05,52,-8,284.7880458831787
37,0.05,53,-7,284.7880458831787
37,0.05,54,-7,284.7880458831787
37,0.05,55,-7,284.7880458831787
37,0.05,56,-7,284.7880458831787
37,0.05,57,-7,284.7880458831787
37,0.05,58,-7,284.7880458831787
37,0.05,59,-7,284.7880458831787
37,0.05,60,-7,284.7880458831787
37,0.05,61,-7,284.7880458831787
37,0.05,62,-7,284.7880458831787
37,0.05,63,-7,284.7880458831787
37,0.05,64,-7,284.7880458831787
37,0.05,65,-7,284.7880458831787
37,0.05,66,-7,284.7880458831787
37,0.05,67,-7,284.7880458831787
37,0.05,68,-7,284.7880458831787
37,0.05,69,-7,284.7880458831787
37,0.05,70,-7,284.7880458831787
37,0.05,71,-7,284.7880458831787
37,0.05,72,-7,284.7880458831787
37,0.05,73,-7,284.7880458831787
37,0.05,74,-7,284.7880458831787
37,0.05,75,-6,284.7880458831787
37,0.05,76,-6,284.7880458831787
37,0.05,77,-6,284.7880458831787
37,0.05,78,-6,284.7880458831787
37,0.05,79,-6,284.7880458831787
37,0.05,80,-6,284.7880458831787
37,0.05,81,-6,284.7880458831787
37,0.05,82,-6,284.7880458831787
37,0.05,83,-6,284.7880458831787
37,0.05,84,-6,284.7880458831787
37,0.05,85,-6,284.7880458831787
37,0.05,86,-6,284.7880458831787
37,0.05,87,-6,284.7880458831787
37,0.05,88,-6,284.7880458831787
37,0.05,89,-6,284.7880458831787
37,0.05,90,-6,284.7880458831787
37,0.05,91,-6,284.7880458831787
37,0.05,92,-6,284.7880458831787
37,0.05,93,-6,284.7880458831787
37,0.05,94,-6,284.7880458831787
37,0.05,95,-6,284.7880458831787
37,0.05,96,-6,284.7880458831787
37,0.05,97,-6,284.7880458831787
37,0.05,98,-6,284.7880458831787
37,0.05,99,-6,284.7880458831787
37,0.05,100,-6,284.7880458831787
37,0.05,101,-6,284.7880458831787
37,0.05,102,-6,284.7880458831787
37,0.05,103,-6,284.7880458831787
37,0.05,104,-6,284.7880458831787
37,0.05,105,-6,284.7880458831787
37,0.05,106,-6,284.7880458831787
37,0.05,107,-6,284.7880458831787
37,0.05,108,-6,284.7880458831787
37,0.05,109,-6,284.7880458831787
37,0.05,110,-6,284.7880458831787
37,0.05,111,-6,284.7880458831787
37,0.05,112,-6,284.7880458831787
37,0.05,113,-6,284.7880458831787
37,0.05,114,-6,284.7880458831787
37,0.05,115,-4,284.7880458831787
37,0.05,116,-4,284.7880458831787
37,0.05,117,-4,284.7880458831787
37,0.05,118,-4,284.7880458831787
37,0.05,119,-4,284.7880458831787
37,0.05,120,-4,284.7880458831787
37,0.05,121,-4,284.7880458831787
37,0.05,122,-4,284.7880458831787
37,0.05,123,-4,284.7880458831787
37,0.05,124,-4,284.7880458831787
37,0.05,125,-4,284.7880458831787
37,0.05,126,-4,284.7880458831787
37,0.05,127,-4,284.7880458831787
37,0.05,128,-4,284.7880458831787
37,0.05,129,-4,284.7880458831787
37,0.05,130,-4,284.7880458831787
37,0.05,131,-4,284.7880458831787
37,0.05,132,-4,284.7880458831787
37,0.05,133,-4,284.7880458831787
37,0.05,134,-4,284.7880458831787
37,0.05,135,-4,284.7880458831787
37,0.05,136,-4,284.7880458831787
37,0.05,137,-4,284.7880458831787
37,0.05,138,-4,284.7880458831787
37,0.05,139,-4,284.7880458831787
37,0.05,140,-4,284.7880458831787
37,0.05,141,-4,284.7880458831787
37,0.05,142,-4,284.7880458831787
37,0.05,143,-4,284.7880458831787
37,0.05,144,-3,284.7880458831787
37,0.05,145,-3,284.7880458831787
37,0.05,146,-3,284.7880458831787
37,0.05,147,-3,284.7880458831787
37,0.05,148,-3,284.7880458831787
37,0.05,149,-3,284.7880458831787
37,0.05,150,-3,284.7880458831787
37,0.05,151,-3,284.7880458831787
37,0.05,152,-3,284.7880458831787
37,0.05,153,-3,284.7880458831787
37,0.05,154,-3,284.7880458831787
37,0.05,155,-3,284.7880458831787
37,0.05,156,-3,284.7880458831787
37,0.05,157,-3,284.7880458831787
37,0.05,158,-3,284.7880458831787
37,0.05,159,-3,284.7880458831787
37,0.05,160,-3,284.7880458831787
37,0.05,161,-3,284.7880458831787
37,0.05,162,-3,284.7880458831787
37,0.05,163,-3,284.7880458831787
37,0.05,164,-3,284.7880458831787
37,0.05,165,-3,284.7880458831787
37,0.05,166,-3,284.7880458831787
37,0.05,167,-3,284.7880458831787
37,0.05,168,-3,284.7880458831787
37,0.05,169,-3,284.7880458831787
37,0.05,170,-3,284.7880458831787
37,0.05,171,-3,284.7880458831787
37,0.05,172,-3,284.7880458831787
37,0.05,173,-3,284.7880458831787
37,0.05,174,-3,284.7880458831787
37,0.05,175,-3,284.7880458831787
37,0.05,176,-3,284.7880458831787
37,0.05,177,-3,284.7880458831787
37,0.05,178,-3,284.7880458831787
37,0.05,179,-3,284.7880458831787
37,0.05,180,-3,284.7880458831787
37,0.05,181,-3,284.7880458831787
37,0.05,182,-3,284.7880458831787
37,0.05,183,-3,284.7880458831787
37,0.05,184,-3,284.7880458831787
37,0.05,185,-3,284.7880458831787
37,0.05,186,-3,284.7880458831787
37,0.05,187,-3,284.7880458831787
37,0.05,188,-3,284.7880458831787
37,0.05,189,-3,284.7880458831787
37,0.05,190,-3,284.7880458831787
37,0.05,191,-3,284.7880458831787
37,0.05,192,-3,284.7880458831787
37,0.05,193,-3,284.7880458831787
37,0.05,194,-3,284.7880458831787
37,0.05,195,-3,284.7880458831787
37,0.05,196,-3,284.7880458831787
37,0.05,197,-3,284.7880458831787
37,0.05,198,-3,284.7880458831787
37,0.05,199,-3,284.7880458831787
32,0.005,0,-37,242.27323079109192
32,0.005,1,-34,242.27323079109192
32,0.005,2,-34,242.27323079109192
32,0.005,3,-34,242.27323079109192
32,0.005,4,-31,242.27323079109192
32,0.005,5,-31,242.27323079109192
32,0.005,6,-29,242.27323079109192
32,0.005,7,-29,242.27323079109192
32,0.005,8,-27,242.27323079109192
32,0.005,9,-27,242.27323079109192
32,0.005,10,-26,242.27323079109192
32,0.005,11,-25,242.27323079109192
32,0.005,12,-24,242.27323079109192
32,0.005,13,-24,242.27323079109192
32,0.005,14,-23,242.27323079109192
32,0.005,15,-22,242.27323079109192
32,0.005,16,-22,242.27323079109192
32,0.005,17,-21,242.27323079109192
32,0.005,18,-20,242.27323079109192
32,0.005,19,-20,242.27323079109192
32,0.005,20,-19,242.27323079109192
32,0.005,21,-18,242.27323079109192
32,0.005,22,-17,242.27323079109192
